Function,Average Time (ms),Median Time (ms),95th Percentile (ms),99th Percentile (ms),Average % of Total Time
configuration,0.000000,0.000000,0.000000,0.000000,0.00
task,16016.859944,14663.648000,26629.066900,35551.284810,87.00
export,1813.833845,1994.265500,2958.217250,2977.435180,10.92
instrumentation,57.037487,7.590000,570.951100,970.658020,0.34
total,18190.144962,16703.352500,28682.318350,37589.908580,100.00
