Function,Average Time (ms),Median Time (ms),95th Percentile (ms),99th Percentile (ms),Average % of Total Time
configuration,233.002237,227.692000,329.915100,364.764320,56.31
task,128.126419,111.435500,224.353850,274.092040,30.15
export,46.414936,41.614000,75.461250,135.449510,11.29
instrumentation,9.170840,7.735000,12.655000,23.646450,2.16
total,417.059550,416.021000,561.855050,612.480200,100.00
