Function,Average Time (ms),Median Time (ms),95th Percentile (ms),99th Percentile (ms),Average % of Total Time
configuration,334.688855,226.917000,628.530200,677.558660,1.98
task,15861.884337,14701.654000,26283.306600,35230.440430,85.34
export,1817.416395,1991.547000,2960.799150,2982.677110,10.82
instrumentation,49.139014,9.019500,13.523000,973.572030,0.28
total,18339.143647,16987.641500,28876.802800,37790.308210,100.00
