Function,Average Time (ms),Median Time (ms),95th Percentile (ms),99th Percentile (ms),Average % of Total Time
configuration,0.000000,0.000000,0.000000,0.000000,0.00
task,117.276616,100.030500,215.340750,269.491110,69.59
export,43.856163,37.780000,81.691050,138.503400,26.74
instrumentation,5.740524,5.467000,7.812000,8.194000,3.50
total,167.141441,144.833000,285.244700,333.149120,100.00
