01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
01:41:28,47 INFO Experiment.PerfCost-3479: Processed 360 samples out of 10000, 0 errors
01:41:41,774 INFO Experiment.PerfCost-3479: Processed 370 samples out of 10000, 0 errors
01:41:56,324 INFO Experiment.PerfCost-3479: Processed 380 samples out of 10000, 0 errors
01:42:10,828 INFO Experiment.PerfCost-3479: Processed 390 samples out of 10000, 0 errors
01:42:24,620 INFO Experiment.PerfCost-3479: Processed 400 samples out of 10000, 0 errors
01:42:37,70 INFO Experiment.PerfCost-3479: Processed 410 samples out of 10000, 0 errors
01:42:50,789 INFO Experiment.PerfCost-3479: Processed 420 samples out of 10000, 0 errors
01:43:04,557 INFO Experiment.PerfCost-3479: Processed 430 samples out of 10000, 0 errors
01:43:18,338 INFO Experiment.PerfCost-3479: Processed 440 samples out of 10000, 0 errors
01:43:30,644 INFO Experiment.PerfCost-3479: Processed 450 samples out of 10000, 0 errors
01:43:44,385 INFO Experiment.PerfCost-3479: Processed 460 samples out of 10000, 0 errors
01:43:58,141 INFO Experiment.PerfCost-3479: Processed 470 samples out of 10000, 0 errors
01:44:12,627 INFO Experiment.PerfCost-3479: Processed 480 samples out of 10000, 0 errors
01:44:26,356 INFO Experiment.PerfCost-3479: Processed 490 samples out of 10000, 0 errors
01:44:41,602 INFO Experiment.PerfCost-3479: Processed 500 samples out of 10000, 0 errors
01:44:55,352 INFO Experiment.PerfCost-3479: Processed 510 samples out of 10000, 0 errors
01:45:07,904 INFO Experiment.PerfCost-3479: Processed 520 samples out of 10000, 0 errors
01:45:22,790 INFO Experiment.PerfCost-3479: Processed 530 samples out of 10000, 0 errors
01:45:37,654 INFO Experiment.PerfCost-3479: Processed 540 samples out of 10000, 0 errors
01:45:52,383 INFO Experiment.PerfCost-3479: Processed 550 samples out of 10000, 0 errors
01:46:06,141 INFO Experiment.PerfCost-3479: Processed 560 samples out of 10000, 0 errors
01:46:18,285 INFO Experiment.PerfCost-3479: Processed 570 samples out of 10000, 0 errors
01:46:33,8 INFO Experiment.PerfCost-3479: Processed 580 samples out of 10000, 0 errors
01:46:46,787 INFO Experiment.PerfCost-3479: Processed 590 samples out of 10000, 0 errors
01:47:01,492 INFO Experiment.PerfCost-3479: Processed 600 samples out of 10000, 0 errors
01:47:15,312 INFO Experiment.PerfCost-3479: Processed 610 samples out of 10000, 0 errors
01:47:27,784 INFO Experiment.PerfCost-3479: Processed 620 samples out of 10000, 0 errors
01:47:43,215 INFO Experiment.PerfCost-3479: Processed 630 samples out of 10000, 0 errors
01:47:57,669 INFO Experiment.PerfCost-3479: Processed 640 samples out of 10000, 0 errors
01:48:10,599 INFO Experiment.PerfCost-3479: Processed 650 samples out of 10000, 0 errors
01:48:24,352 INFO Experiment.PerfCost-3479: Processed 660 samples out of 10000, 0 errors
01:48:38,133 INFO Experiment.PerfCost-3479: Processed 670 samples out of 10000, 0 errors
01:48:51,896 INFO Experiment.PerfCost-3479: Processed 680 samples out of 10000, 0 errors
01:49:06,508 INFO Experiment.PerfCost-3479: Processed 690 samples out of 10000, 0 errors
01:49:20,257 INFO Experiment.PerfCost-3479: Processed 700 samples out of 10000, 0 errors
01:49:34,37 INFO Experiment.PerfCost-3479: Processed 710 samples out of 10000, 0 errors
01:49:47,828 INFO Experiment.PerfCost-3479: Processed 720 samples out of 10000, 0 errors
01:50:01,551 INFO Experiment.PerfCost-3479: Processed 730 samples out of 10000, 0 errors
01:50:15,345 INFO Experiment.PerfCost-3479: Processed 740 samples out of 10000, 0 errors
01:50:29,157 INFO Experiment.PerfCost-3479: Processed 750 samples out of 10000, 0 errors
01:50:42,910 INFO Experiment.PerfCost-3479: Processed 760 samples out of 10000, 0 errors
01:50:56,679 INFO Experiment.PerfCost-3479: Processed 770 samples out of 10000, 0 errors
01:51:10,423 INFO Experiment.PerfCost-3479: Processed 780 samples out of 10000, 0 errors
01:51:25,354 INFO Experiment.PerfCost-3479: Processed 790 samples out of 10000, 0 errors
01:51:40,219 INFO Experiment.PerfCost-3479: Processed 800 samples out of 10000, 0 errors
01:51:53,953 INFO Experiment.PerfCost-3479: Processed 810 samples out of 10000, 0 errors
01:52:07,695 INFO Experiment.PerfCost-3479: Processed 820 samples out of 10000, 0 errors
01:52:21,440 INFO Experiment.PerfCost-3479: Processed 830 samples out of 10000, 0 errors
01:52:35,185 INFO Experiment.PerfCost-3479: Processed 840 samples out of 10000, 0 errors
01:52:48,949 INFO Experiment.PerfCost-3479: Processed 850 samples out of 10000, 0 errors
01:53:02,695 INFO Experiment.PerfCost-3479: Processed 860 samples out of 10000, 0 errors
01:53:16,452 INFO Experiment.PerfCost-3479: Processed 870 samples out of 10000, 0 errors
01:53:30,211 INFO Experiment.PerfCost-3479: Processed 880 samples out of 10000, 0 errors
01:53:43,960 INFO Experiment.PerfCost-3479: Processed 890 samples out of 10000, 0 errors
01:53:57,685 INFO Experiment.PerfCost-3479: Processed 900 samples out of 10000, 0 errors
01:54:11,467 INFO Experiment.PerfCost-3479: Processed 910 samples out of 10000, 0 errors
01:54:26,137 INFO Experiment.PerfCost-3479: Processed 920 samples out of 10000, 0 errors
01:54:38,663 INFO Experiment.PerfCost-3479: Processed 930 samples out of 10000, 0 errors
