20:53:23,452 INFO SeBS-7d44: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/non-instrumented/110.dynamic-html
20:53:23,801 INFO OpenWhisk.Resources-5488: Using user-provided configuration of storage for OpenWhisk.
20:53:23,802 INFO OpenWhisk-fbf5: Using existing resource name: fd5e1ae0.
20:53:23,911 INFO Benchmark-664b: Using cached benchmark 110.dynamic-html at /home/anou/msc-thesis/task-based-experiment/cache/110.dynamic-html/openwhisk/python/3.7/110.dynamic-html.zip
20:53:23,912 INFO OpenWhisk-fbf5: Using cached function 110.dynamic-html-python-3.7 in /home/anou/msc-thesis/task-based-experiment/cache/110.dynamic-html/openwhisk/python/3.7/110.dynamic-html.zip
20:53:23,932 INFO OpenWhisk-fbf5: Cached function 110.dynamic-html-python-3.7 is up to date.
20:53:23,936 INFO Experiment.PerfCost-40b9: Begin experiment on memory size 128
20:53:23,936 INFO OpenWhisk-fbf5: Update an existing OpenWhisk action 110.dynamic-html-python-3.7.
20:53:24,118 INFO Experiment.PerfCost-40b9: Begin warm experiments
20:53:31,923 INFO Experiment.PerfCost-40b9: Processed 0 warm-up samples, ignoring these results.
20:53:42,15 INFO Experiment.PerfCost-40b9: Processed 10 samples out of 10000, 0 errors
20:53:52,108 INFO Experiment.PerfCost-40b9: Processed 20 samples out of 10000, 0 errors
20:54:02,192 INFO Experiment.PerfCost-40b9: Processed 30 samples out of 10000, 0 errors
20:54:12,288 INFO Experiment.PerfCost-40b9: Processed 40 samples out of 10000, 0 errors
20:54:22,374 INFO Experiment.PerfCost-40b9: Processed 50 samples out of 10000, 0 errors
20:54:32,471 INFO Experiment.PerfCost-40b9: Processed 60 samples out of 10000, 0 errors
20:54:42,577 INFO Experiment.PerfCost-40b9: Processed 70 samples out of 10000, 0 errors
20:54:52,669 INFO Experiment.PerfCost-40b9: Processed 80 samples out of 10000, 0 errors
20:55:02,754 INFO Experiment.PerfCost-40b9: Processed 90 samples out of 10000, 0 errors
20:55:12,841 INFO Experiment.PerfCost-40b9: Processed 100 samples out of 10000, 0 errors
20:55:22,975 INFO Experiment.PerfCost-40b9: Processed 110 samples out of 10000, 0 errors
20:55:33,76 INFO Experiment.PerfCost-40b9: Processed 120 samples out of 10000, 0 errors
20:55:43,174 INFO Experiment.PerfCost-40b9: Processed 130 samples out of 10000, 0 errors
20:55:53,266 INFO Experiment.PerfCost-40b9: Processed 140 samples out of 10000, 0 errors
20:56:03,363 INFO Experiment.PerfCost-40b9: Processed 150 samples out of 10000, 0 errors
20:56:13,448 INFO Experiment.PerfCost-40b9: Processed 160 samples out of 10000, 0 errors
20:56:23,539 INFO Experiment.PerfCost-40b9: Processed 170 samples out of 10000, 0 errors
20:56:33,642 INFO Experiment.PerfCost-40b9: Processed 180 samples out of 10000, 0 errors
20:56:43,734 INFO Experiment.PerfCost-40b9: Processed 190 samples out of 10000, 0 errors
20:56:53,826 INFO Experiment.PerfCost-40b9: Processed 200 samples out of 10000, 0 errors
20:57:03,919 INFO Experiment.PerfCost-40b9: Processed 210 samples out of 10000, 0 errors
20:57:14,12 INFO Experiment.PerfCost-40b9: Processed 220 samples out of 10000, 0 errors
20:57:24,106 INFO Experiment.PerfCost-40b9: Processed 230 samples out of 10000, 0 errors
20:57:34,193 INFO Experiment.PerfCost-40b9: Processed 240 samples out of 10000, 0 errors
20:57:44,290 INFO Experiment.PerfCost-40b9: Processed 250 samples out of 10000, 0 errors
20:57:54,377 INFO Experiment.PerfCost-40b9: Processed 260 samples out of 10000, 0 errors
20:58:04,465 INFO Experiment.PerfCost-40b9: Processed 270 samples out of 10000, 0 errors
20:58:14,557 INFO Experiment.PerfCost-40b9: Processed 280 samples out of 10000, 0 errors
20:58:24,669 INFO Experiment.PerfCost-40b9: Processed 290 samples out of 10000, 0 errors
20:58:34,776 INFO Experiment.PerfCost-40b9: Processed 300 samples out of 10000, 0 errors
20:58:44,866 INFO Experiment.PerfCost-40b9: Processed 310 samples out of 10000, 0 errors
20:58:54,954 INFO Experiment.PerfCost-40b9: Processed 320 samples out of 10000, 0 errors
20:59:05,51 INFO Experiment.PerfCost-40b9: Processed 330 samples out of 10000, 0 errors
20:59:15,141 INFO Experiment.PerfCost-40b9: Processed 340 samples out of 10000, 0 errors
20:59:25,249 INFO Experiment.PerfCost-40b9: Processed 350 samples out of 10000, 0 errors
20:59:35,343 INFO Experiment.PerfCost-40b9: Processed 360 samples out of 10000, 0 errors
20:59:45,461 INFO Experiment.PerfCost-40b9: Processed 370 samples out of 10000, 0 errors
20:59:55,556 INFO Experiment.PerfCost-40b9: Processed 380 samples out of 10000, 0 errors
21:00:05,668 INFO Experiment.PerfCost-40b9: Processed 390 samples out of 10000, 0 errors
21:00:15,765 INFO Experiment.PerfCost-40b9: Processed 400 samples out of 10000, 0 errors
21:00:25,881 INFO Experiment.PerfCost-40b9: Processed 410 samples out of 10000, 0 errors
21:00:35,987 INFO Experiment.PerfCost-40b9: Processed 420 samples out of 10000, 0 errors
21:00:46,86 INFO Experiment.PerfCost-40b9: Processed 430 samples out of 10000, 0 errors
21:00:56,172 INFO Experiment.PerfCost-40b9: Processed 440 samples out of 10000, 0 errors
21:01:06,269 INFO Experiment.PerfCost-40b9: Processed 450 samples out of 10000, 0 errors
21:01:16,359 INFO Experiment.PerfCost-40b9: Processed 460 samples out of 10000, 0 errors
21:01:26,459 INFO Experiment.PerfCost-40b9: Processed 470 samples out of 10000, 0 errors
21:01:36,549 INFO Experiment.PerfCost-40b9: Processed 480 samples out of 10000, 0 errors
21:01:46,655 INFO Experiment.PerfCost-40b9: Processed 490 samples out of 10000, 0 errors
21:01:56,749 INFO Experiment.PerfCost-40b9: Processed 500 samples out of 10000, 0 errors
21:02:06,847 INFO Experiment.PerfCost-40b9: Processed 510 samples out of 10000, 0 errors
21:02:16,948 INFO Experiment.PerfCost-40b9: Processed 520 samples out of 10000, 0 errors
21:02:27,40 INFO Experiment.PerfCost-40b9: Processed 530 samples out of 10000, 0 errors
21:02:37,142 INFO Experiment.PerfCost-40b9: Processed 540 samples out of 10000, 0 errors
21:02:47,241 INFO Experiment.PerfCost-40b9: Processed 550 samples out of 10000, 0 errors
21:02:57,329 INFO Experiment.PerfCost-40b9: Processed 560 samples out of 10000, 0 errors
21:03:07,420 INFO Experiment.PerfCost-40b9: Processed 570 samples out of 10000, 0 errors
21:03:17,507 INFO Experiment.PerfCost-40b9: Processed 580 samples out of 10000, 0 errors
21:03:27,603 INFO Experiment.PerfCost-40b9: Processed 590 samples out of 10000, 0 errors
21:03:37,700 INFO Experiment.PerfCost-40b9: Processed 600 samples out of 10000, 0 errors
21:03:47,815 INFO Experiment.PerfCost-40b9: Processed 610 samples out of 10000, 0 errors
21:03:57,914 INFO Experiment.PerfCost-40b9: Processed 620 samples out of 10000, 0 errors
21:04:07,999 INFO Experiment.PerfCost-40b9: Processed 630 samples out of 10000, 0 errors
21:04:18,130 INFO Experiment.PerfCost-40b9: Processed 640 samples out of 10000, 0 errors
21:04:28,223 INFO Experiment.PerfCost-40b9: Processed 650 samples out of 10000, 0 errors
21:04:38,313 INFO Experiment.PerfCost-40b9: Processed 660 samples out of 10000, 0 errors
21:04:48,405 INFO Experiment.PerfCost-40b9: Processed 670 samples out of 10000, 0 errors
21:04:58,508 INFO Experiment.PerfCost-40b9: Processed 680 samples out of 10000, 0 errors
21:05:08,604 INFO Experiment.PerfCost-40b9: Processed 690 samples out of 10000, 0 errors
21:05:18,703 INFO Experiment.PerfCost-40b9: Processed 700 samples out of 10000, 0 errors
21:05:28,828 INFO Experiment.PerfCost-40b9: Processed 710 samples out of 10000, 0 errors
21:05:38,924 INFO Experiment.PerfCost-40b9: Processed 720 samples out of 10000, 0 errors
21:05:49,25 INFO Experiment.PerfCost-40b9: Processed 730 samples out of 10000, 0 errors
21:05:59,116 INFO Experiment.PerfCost-40b9: Processed 740 samples out of 10000, 0 errors
21:06:09,216 INFO Experiment.PerfCost-40b9: Processed 750 samples out of 10000, 0 errors
21:06:19,313 INFO Experiment.PerfCost-40b9: Processed 760 samples out of 10000, 0 errors
21:06:29,413 INFO Experiment.PerfCost-40b9: Processed 770 samples out of 10000, 0 errors
21:06:39,517 INFO Experiment.PerfCost-40b9: Processed 780 samples out of 10000, 0 errors
21:06:49,613 INFO Experiment.PerfCost-40b9: Processed 790 samples out of 10000, 0 errors
21:06:59,709 INFO Experiment.PerfCost-40b9: Processed 800 samples out of 10000, 0 errors
21:07:09,803 INFO Experiment.PerfCost-40b9: Processed 810 samples out of 10000, 0 errors
21:07:19,886 INFO Experiment.PerfCost-40b9: Processed 820 samples out of 10000, 0 errors
21:07:29,979 INFO Experiment.PerfCost-40b9: Processed 830 samples out of 10000, 0 errors
21:07:40,81 INFO Experiment.PerfCost-40b9: Processed 840 samples out of 10000, 0 errors
21:07:50,180 INFO Experiment.PerfCost-40b9: Processed 850 samples out of 10000, 0 errors
21:08:00,274 INFO Experiment.PerfCost-40b9: Processed 860 samples out of 10000, 0 errors
