15:12:17,993 INFO Experiment.PerfCost-eae5: Processed 1290 samples out of 10000, 0 errors
15:12:28,83 INFO Experiment.PerfCost-eae5: Processed 1300 samples out of 10000, 0 errors
15:12:38,186 INFO Experiment.PerfCost-eae5: Processed 1310 samples out of 10000, 0 errors
15:12:48,285 INFO Experiment.PerfCost-eae5: Processed 1320 samples out of 10000, 0 errors
15:12:58,380 INFO Experiment.PerfCost-eae5: Processed 1330 samples out of 10000, 0 errors
15:13:08,471 INFO Experiment.PerfCost-eae5: Processed 1340 samples out of 10000, 0 errors
15:13:18,570 INFO Experiment.PerfCost-eae5: Processed 1350 samples out of 10000, 0 errors
15:13:28,667 INFO Experiment.PerfCost-eae5: Processed 1360 samples out of 10000, 0 errors
15:13:38,759 INFO Experiment.PerfCost-eae5: Processed 1370 samples out of 10000, 0 errors
15:13:48,857 INFO Experiment.PerfCost-eae5: Processed 1380 samples out of 10000, 0 errors
15:13:58,948 INFO Experiment.PerfCost-eae5: Processed 1390 samples out of 10000, 0 errors
15:14:09,76 INFO Experiment.PerfCost-eae5: Processed 1400 samples out of 10000, 0 errors
15:14:19,179 INFO Experiment.PerfCost-eae5: Processed 1410 samples out of 10000, 0 errors
15:14:29,277 INFO Experiment.PerfCost-eae5: Processed 1420 samples out of 10000, 0 errors
15:14:39,366 INFO Experiment.PerfCost-eae5: Processed 1430 samples out of 10000, 0 errors
15:14:49,465 INFO Experiment.PerfCost-eae5: Processed 1440 samples out of 10000, 0 errors
15:14:59,557 INFO Experiment.PerfCost-eae5: Processed 1450 samples out of 10000, 0 errors
15:15:09,649 INFO Experiment.PerfCost-eae5: Processed 1460 samples out of 10000, 0 errors
15:15:19,729 INFO Experiment.PerfCost-eae5: Processed 1470 samples out of 10000, 0 errors
15:15:29,859 INFO Experiment.PerfCost-eae5: Processed 1480 samples out of 10000, 0 errors
15:15:39,986 INFO Experiment.PerfCost-eae5: Processed 1490 samples out of 10000, 0 errors
15:15:50,159 INFO Experiment.PerfCost-eae5: Processed 1500 samples out of 10000, 0 errors
15:16:00,290 INFO Experiment.PerfCost-eae5: Processed 1510 samples out of 10000, 0 errors
15:16:10,416 INFO Experiment.PerfCost-eae5: Processed 1520 samples out of 10000, 0 errors
15:16:20,542 INFO Experiment.PerfCost-eae5: Processed 1530 samples out of 10000, 0 errors
15:16:30,661 INFO Experiment.PerfCost-eae5: Processed 1540 samples out of 10000, 0 errors
15:16:40,779 INFO Experiment.PerfCost-eae5: Processed 1550 samples out of 10000, 0 errors
15:16:50,914 INFO Experiment.PerfCost-eae5: Processed 1560 samples out of 10000, 0 errors
15:17:01,27 INFO Experiment.PerfCost-eae5: Processed 1570 samples out of 10000, 0 errors
