language,configuration,endpoint,container_id,host,targetRPS,CPU,experiment_id
python,standard,json,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,400,81.78368150391434,eb86df1b-551a-4b77-bac1-3ba659ddfafa
python,standard,queries,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,50,91.50612518536113,eb86df1b-551a-4b77-bac1-3ba659ddfafa
python,elastic,db,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,78.98980849449798,eb86df1b-551a-4b77-bac1-3ba659ddfafa
java,standard,queries,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,450,101.75917504074296,eb86df1b-551a-4b77-bac1-3ba659ddfafa
java,elastic,json,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,2450,75.58454133695109,eb86df1b-551a-4b77-bac1-3ba659ddfafa
go,standard,updates,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,102.75976993965735,eb86df1b-551a-4b77-bac1-3ba659ddfafa
go,elastic,updates,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,100.28690767879895,eb86df1b-551a-4b77-bac1-3ba659ddfafa
go,standard,db,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,300,100.8278681532612,eb86df1b-551a-4b77-bac1-3ba659ddfafa
java,elastic,updates,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,850,78.95493298318085,eb86df1b-551a-4b77-bac1-3ba659ddfafa
go,standard,json,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,4050,78.60240780076649,eb86df1b-551a-4b77-bac1-3ba659ddfafa
go,standard,queries,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,99.55603169157814,eb86df1b-551a-4b77-bac1-3ba659ddfafa
