22:39:25,509 INFO SeBS-4c50: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel
22:39:25,857 INFO OpenWhisk.Resources-8467: Using user-provided configuration of storage for OpenWhisk.
22:39:25,858 INFO OpenWhisk-79fb: Using existing resource name: 8504288e.
22:39:25,862 INFO Benchmark-689a: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
22:50:39,51 INFO Experiment.PerfCost-3361: Processed 500 samples out of 10000, 0 errors
22:50:52,62 INFO Experiment.PerfCost-3361: Processed 510 samples out of 10000, 0 errors
22:51:04,878 INFO Experiment.PerfCost-3361: Processed 520 samples out of 10000, 0 errors
22:51:17,819 INFO Experiment.PerfCost-3361: Processed 530 samples out of 10000, 0 errors
22:51:30,625 INFO Experiment.PerfCost-3361: Processed 540 samples out of 10000, 0 errors
22:51:43,757 INFO Experiment.PerfCost-3361: Processed 550 samples out of 10000, 0 errors
22:51:56,563 INFO Experiment.PerfCost-3361: Processed 560 samples out of 10000, 0 errors
22:52:09,377 INFO Experiment.PerfCost-3361: Processed 570 samples out of 10000, 0 errors
22:52:22,238 INFO Experiment.PerfCost-3361: Processed 580 samples out of 10000, 0 errors
22:52:35,186 INFO Experiment.PerfCost-3361: Processed 590 samples out of 10000, 0 errors
22:52:48,91 INFO Experiment.PerfCost-3361: Processed 600 samples out of 10000, 0 errors
22:53:01,0 INFO Experiment.PerfCost-3361: Processed 610 samples out of 10000, 0 errors
22:53:13,698 INFO Experiment.PerfCost-3361: Processed 620 samples out of 10000, 0 errors
22:53:26,430 INFO Experiment.PerfCost-3361: Processed 630 samples out of 10000, 0 errors
22:53:39,196 INFO Experiment.PerfCost-3361: Processed 640 samples out of 10000, 0 errors
22:53:51,946 INFO Experiment.PerfCost-3361: Processed 650 samples out of 10000, 0 errors
22:54:04,785 INFO Experiment.PerfCost-3361: Processed 660 samples out of 10000, 0 errors
22:54:17,723 INFO Experiment.PerfCost-3361: Processed 670 samples out of 10000, 0 errors
22:54:30,540 INFO Experiment.PerfCost-3361: Processed 680 samples out of 10000, 0 errors
22:54:43,346 INFO Experiment.PerfCost-3361: Processed 690 samples out of 10000, 0 errors
22:54:56,252 INFO Experiment.PerfCost-3361: Processed 700 samples out of 10000, 0 errors
22:55:09,8 INFO Experiment.PerfCost-3361: Processed 710 samples out of 10000, 0 errors
22:55:21,894 INFO Experiment.PerfCost-3361: Processed 720 samples out of 10000, 0 errors
22:55:34,902 INFO Experiment.PerfCost-3361: Processed 730 samples out of 10000, 0 errors
22:55:47,711 INFO Experiment.PerfCost-3361: Processed 740 samples out of 10000, 0 errors
22:56:00,709 INFO Experiment.PerfCost-3361: Processed 750 samples out of 10000, 0 errors
