00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:01:15,663 INFO Experiment.PerfCost-bfba: Processed 500 samples out of 10000, 0 errors
01:01:27,994 INFO Experiment.PerfCost-bfba: Processed 510 samples out of 10000, 0 errors
01:01:40,389 INFO Experiment.PerfCost-bfba: Processed 520 samples out of 10000, 0 errors
01:01:52,718 INFO Experiment.PerfCost-bfba: Processed 530 samples out of 10000, 0 errors
01:02:05,117 INFO Experiment.PerfCost-bfba: Processed 540 samples out of 10000, 0 errors
01:02:17,471 INFO Experiment.PerfCost-bfba: Processed 550 samples out of 10000, 0 errors
01:02:29,845 INFO Experiment.PerfCost-bfba: Processed 560 samples out of 10000, 0 errors
01:02:42,182 INFO Experiment.PerfCost-bfba: Processed 570 samples out of 10000, 0 errors
01:02:54,592 INFO Experiment.PerfCost-bfba: Processed 580 samples out of 10000, 0 errors
01:03:06,985 INFO Experiment.PerfCost-bfba: Processed 590 samples out of 10000, 0 errors
01:03:19,369 INFO Experiment.PerfCost-bfba: Processed 600 samples out of 10000, 0 errors
01:03:31,809 INFO Experiment.PerfCost-bfba: Processed 610 samples out of 10000, 0 errors
01:03:44,182 INFO Experiment.PerfCost-bfba: Processed 620 samples out of 10000, 0 errors
01:03:56,563 INFO Experiment.PerfCost-bfba: Processed 630 samples out of 10000, 0 errors
01:04:09,14 INFO Experiment.PerfCost-bfba: Processed 640 samples out of 10000, 0 errors
01:04:21,533 INFO Experiment.PerfCost-bfba: Processed 650 samples out of 10000, 0 errors
01:04:33,885 INFO Experiment.PerfCost-bfba: Processed 660 samples out of 10000, 0 errors
01:04:46,180 INFO Experiment.PerfCost-bfba: Processed 670 samples out of 10000, 0 errors
