23:47:14,226 INFO SeBS-91bf: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank
23:47:14,557 INFO OpenWhisk.Resources-6a2f: Using user-provided configuration of storage for OpenWhisk.
23:47:14,557 INFO OpenWhisk-4879: Using existing resource name: 8504288e.
23:47:14,561 INFO Benchmark-d60f: Building benchmark 660.graph-pagerank. Reason: no cached code package.
23:56:17,924 INFO Experiment.PerfCost-7e17: Processed 500 samples out of 10000, 0 errors
23:56:28,58 INFO Experiment.PerfCost-7e17: Processed 510 samples out of 10000, 0 errors
23:56:38,162 INFO Experiment.PerfCost-7e17: Processed 520 samples out of 10000, 0 errors
23:56:48,263 INFO Experiment.PerfCost-7e17: Processed 530 samples out of 10000, 0 errors
23:56:58,368 INFO Experiment.PerfCost-7e17: Processed 540 samples out of 10000, 0 errors
23:57:08,477 INFO Experiment.PerfCost-7e17: Processed 550 samples out of 10000, 0 errors
23:57:18,584 INFO Experiment.PerfCost-7e17: Processed 560 samples out of 10000, 0 errors
23:57:28,726 INFO Experiment.PerfCost-7e17: Processed 570 samples out of 10000, 0 errors
23:57:38,842 INFO Experiment.PerfCost-7e17: Processed 580 samples out of 10000, 0 errors
23:57:48,939 INFO Experiment.PerfCost-7e17: Processed 590 samples out of 10000, 0 errors
23:57:59,71 INFO Experiment.PerfCost-7e17: Processed 600 samples out of 10000, 0 errors
23:58:09,169 INFO Experiment.PerfCost-7e17: Processed 610 samples out of 10000, 0 errors
23:58:19,286 INFO Experiment.PerfCost-7e17: Processed 620 samples out of 10000, 0 errors
23:58:29,383 INFO Experiment.PerfCost-7e17: Processed 630 samples out of 10000, 0 errors
23:58:39,496 INFO Experiment.PerfCost-7e17: Processed 640 samples out of 10000, 0 errors
23:58:49,599 INFO Experiment.PerfCost-7e17: Processed 650 samples out of 10000, 0 errors
23:58:59,713 INFO Experiment.PerfCost-7e17: Processed 660 samples out of 10000, 0 errors
23:59:09,812 INFO Experiment.PerfCost-7e17: Processed 670 samples out of 10000, 0 errors
23:59:19,917 INFO Experiment.PerfCost-7e17: Processed 680 samples out of 10000, 0 errors
