02:14:56,528 INFO SeBS-ac33: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank
02:14:56,873 INFO OpenWhisk.Resources-6ab7: Using user-provided configuration of storage for OpenWhisk.
02:14:56,873 INFO OpenWhisk-dcbe: Using existing resource name: 8504288e.
02:14:56,877 INFO Benchmark-b382: Building benchmark 660.graph-pagerank. Reason: no cached code package.
02:23:34,642 INFO Experiment.PerfCost-b181: Processed 500 samples out of 10000, 0 errors
02:23:44,742 INFO Experiment.PerfCost-b181: Processed 510 samples out of 10000, 0 errors
02:23:54,841 INFO Experiment.PerfCost-b181: Processed 520 samples out of 10000, 0 errors
02:24:04,933 INFO Experiment.PerfCost-b181: Processed 530 samples out of 10000, 0 errors
02:24:15,38 INFO Experiment.PerfCost-b181: Processed 540 samples out of 10000, 0 errors
02:24:25,120 INFO Experiment.PerfCost-b181: Processed 550 samples out of 10000, 0 errors
02:24:35,218 INFO Experiment.PerfCost-b181: Processed 560 samples out of 10000, 0 errors
02:24:45,327 INFO Experiment.PerfCost-b181: Processed 570 samples out of 10000, 0 errors
02:24:55,437 INFO Experiment.PerfCost-b181: Processed 580 samples out of 10000, 0 errors
02:25:05,537 INFO Experiment.PerfCost-b181: Processed 590 samples out of 10000, 0 errors
02:25:15,640 INFO Experiment.PerfCost-b181: Processed 600 samples out of 10000, 0 errors
02:25:25,745 INFO Experiment.PerfCost-b181: Processed 610 samples out of 10000, 0 errors
02:25:35,845 INFO Experiment.PerfCost-b181: Processed 620 samples out of 10000, 0 errors
02:25:45,944 INFO Experiment.PerfCost-b181: Processed 630 samples out of 10000, 0 errors
02:25:56,47 INFO Experiment.PerfCost-b181: Processed 640 samples out of 10000, 0 errors
02:26:06,158 INFO Experiment.PerfCost-b181: Processed 650 samples out of 10000, 0 errors
02:26:16,250 INFO Experiment.PerfCost-b181: Processed 660 samples out of 10000, 0 errors
02:26:26,352 INFO Experiment.PerfCost-b181: Processed 670 samples out of 10000, 0 errors
02:26:36,457 INFO Experiment.PerfCost-b181: Processed 680 samples out of 10000, 0 errors
02:26:46,560 INFO Experiment.PerfCost-b181: Processed 690 samples out of 10000, 0 errors
02:26:56,663 INFO Experiment.PerfCost-b181: Processed 700 samples out of 10000, 0 errors
02:27:06,811 INFO Experiment.PerfCost-b181: Processed 710 samples out of 10000, 0 errors
02:27:16,907 INFO Experiment.PerfCost-b181: Processed 720 samples out of 10000, 0 errors
02:27:27,22 INFO Experiment.PerfCost-b181: Processed 730 samples out of 10000, 0 errors
02:27:37,115 INFO Experiment.PerfCost-b181: Processed 740 samples out of 10000, 0 errors
02:27:47,242 INFO Experiment.PerfCost-b181: Processed 750 samples out of 10000, 0 errors
02:27:57,370 INFO Experiment.PerfCost-b181: Processed 760 samples out of 10000, 0 errors
02:28:07,469 INFO Experiment.PerfCost-b181: Processed 770 samples out of 10000, 0 errors
02:28:17,565 INFO Experiment.PerfCost-b181: Processed 780 samples out of 10000, 0 errors
