09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
09:49:17,86 INFO Experiment.PerfCost-5d88: Processed 510 samples out of 10000, 0 errors
09:49:29,17 INFO Experiment.PerfCost-5d88: Processed 520 samples out of 10000, 0 errors
09:49:41,11 INFO Experiment.PerfCost-5d88: Processed 530 samples out of 10000, 0 errors
09:49:52,925 INFO Experiment.PerfCost-5d88: Processed 540 samples out of 10000, 0 errors
09:50:04,937 INFO Experiment.PerfCost-5d88: Processed 550 samples out of 10000, 0 errors
09:50:16,844 INFO Experiment.PerfCost-5d88: Processed 560 samples out of 10000, 0 errors
09:50:28,785 INFO Experiment.PerfCost-5d88: Processed 570 samples out of 10000, 0 errors
09:50:40,647 INFO Experiment.PerfCost-5d88: Processed 580 samples out of 10000, 0 errors
09:50:52,586 INFO Experiment.PerfCost-5d88: Processed 590 samples out of 10000, 0 errors
09:51:04,541 INFO Experiment.PerfCost-5d88: Processed 600 samples out of 10000, 0 errors
09:51:16,470 INFO Experiment.PerfCost-5d88: Processed 610 samples out of 10000, 0 errors
09:51:28,465 INFO Experiment.PerfCost-5d88: Processed 620 samples out of 10000, 0 errors
09:51:40,420 INFO Experiment.PerfCost-5d88: Processed 630 samples out of 10000, 0 errors
09:51:52,426 INFO Experiment.PerfCost-5d88: Processed 640 samples out of 10000, 0 errors
09:52:04,368 INFO Experiment.PerfCost-5d88: Processed 650 samples out of 10000, 0 errors
09:52:16,313 INFO Experiment.PerfCost-5d88: Processed 660 samples out of 10000, 0 errors
09:52:28,288 INFO Experiment.PerfCost-5d88: Processed 670 samples out of 10000, 0 errors
09:52:40,288 INFO Experiment.PerfCost-5d88: Processed 680 samples out of 10000, 0 errors
09:52:52,230 INFO Experiment.PerfCost-5d88: Processed 690 samples out of 10000, 0 errors
09:53:04,212 INFO Experiment.PerfCost-5d88: Processed 700 samples out of 10000, 0 errors
09:53:16,184 INFO Experiment.PerfCost-5d88: Processed 710 samples out of 10000, 0 errors
09:53:28,140 INFO Experiment.PerfCost-5d88: Processed 720 samples out of 10000, 0 errors
09:53:40,77 INFO Experiment.PerfCost-5d88: Processed 730 samples out of 10000, 0 errors
09:53:52,15 INFO Experiment.PerfCost-5d88: Processed 740 samples out of 10000, 0 errors
09:54:03,988 INFO Experiment.PerfCost-5d88: Processed 750 samples out of 10000, 0 errors
09:54:15,968 INFO Experiment.PerfCost-5d88: Processed 760 samples out of 10000, 0 errors
09:54:28,14 INFO Experiment.PerfCost-5d88: Processed 770 samples out of 10000, 0 errors
09:54:39,990 INFO Experiment.PerfCost-5d88: Processed 780 samples out of 10000, 0 errors
09:54:51,964 INFO Experiment.PerfCost-5d88: Processed 790 samples out of 10000, 0 errors
09:55:03,955 INFO Experiment.PerfCost-5d88: Processed 800 samples out of 10000, 0 errors
