16:29:34,941 INFO Experiment.PerfCost-5cc9: Processed 560 samples out of 10000, 0 errors
16:29:45,11 INFO Experiment.PerfCost-5cc9: Processed 570 samples out of 10000, 0 errors
16:29:55,79 INFO Experiment.PerfCost-5cc9: Processed 580 samples out of 10000, 0 errors
16:30:05,156 INFO Experiment.PerfCost-5cc9: Processed 590 samples out of 10000, 0 errors
16:30:15,262 INFO Experiment.PerfCost-5cc9: Processed 600 samples out of 10000, 0 errors
16:30:25,338 INFO Experiment.PerfCost-5cc9: Processed 610 samples out of 10000, 0 errors
16:30:35,420 INFO Experiment.PerfCost-5cc9: Processed 620 samples out of 10000, 0 errors
16:30:45,510 INFO Experiment.PerfCost-5cc9: Processed 630 samples out of 10000, 0 errors
16:30:55,582 INFO Experiment.PerfCost-5cc9: Processed 640 samples out of 10000, 0 errors
16:31:05,656 INFO Experiment.PerfCost-5cc9: Processed 650 samples out of 10000, 0 errors
16:31:15,731 INFO Experiment.PerfCost-5cc9: Processed 660 samples out of 10000, 0 errors
16:31:25,807 INFO Experiment.PerfCost-5cc9: Processed 670 samples out of 10000, 0 errors
16:31:35,880 INFO Experiment.PerfCost-5cc9: Processed 680 samples out of 10000, 0 errors
16:31:45,956 INFO Experiment.PerfCost-5cc9: Processed 690 samples out of 10000, 0 errors
16:31:56,77 INFO Experiment.PerfCost-5cc9: Processed 700 samples out of 10000, 0 errors
16:32:06,153 INFO Experiment.PerfCost-5cc9: Processed 710 samples out of 10000, 0 errors
16:32:16,224 INFO Experiment.PerfCost-5cc9: Processed 720 samples out of 10000, 0 errors
16:32:26,301 INFO Experiment.PerfCost-5cc9: Processed 730 samples out of 10000, 0 errors
16:32:36,376 INFO Experiment.PerfCost-5cc9: Processed 740 samples out of 10000, 0 errors
16:32:46,465 INFO Experiment.PerfCost-5cc9: Processed 750 samples out of 10000, 0 errors
16:32:56,546 INFO Experiment.PerfCost-5cc9: Processed 760 samples out of 10000, 0 errors
16:33:06,625 INFO Experiment.PerfCost-5cc9: Processed 770 samples out of 10000, 0 errors
16:33:16,697 INFO Experiment.PerfCost-5cc9: Processed 780 samples out of 10000, 0 errors
16:33:26,776 INFO Experiment.PerfCost-5cc9: Processed 790 samples out of 10000, 0 errors
16:33:36,866 INFO Experiment.PerfCost-5cc9: Processed 800 samples out of 10000, 0 errors
16:33:46,938 INFO Experiment.PerfCost-5cc9: Processed 810 samples out of 10000, 0 errors
16:33:57,19 INFO Experiment.PerfCost-5cc9: Processed 820 samples out of 10000, 0 errors
16:34:07,132 INFO Experiment.PerfCost-5cc9: Processed 830 samples out of 10000, 0 errors
16:34:17,208 INFO Experiment.PerfCost-5cc9: Processed 840 samples out of 10000, 0 errors
16:34:27,284 INFO Experiment.PerfCost-5cc9: Processed 850 samples out of 10000, 0 errors
16:34:37,370 INFO Experiment.PerfCost-5cc9: Processed 860 samples out of 10000, 0 errors
16:34:47,442 INFO Experiment.PerfCost-5cc9: Processed 870 samples out of 10000, 0 errors
16:34:57,520 INFO Experiment.PerfCost-5cc9: Processed 880 samples out of 10000, 0 errors
16:35:07,589 INFO Experiment.PerfCost-5cc9: Processed 890 samples out of 10000, 0 errors
16:35:17,688 INFO Experiment.PerfCost-5cc9: Processed 900 samples out of 10000, 0 errors
16:35:27,772 INFO Experiment.PerfCost-5cc9: Processed 910 samples out of 10000, 0 errors
16:35:37,849 INFO Experiment.PerfCost-5cc9: Processed 920 samples out of 10000, 0 errors
16:35:47,933 INFO Experiment.PerfCost-5cc9: Processed 930 samples out of 10000, 0 errors
16:35:58,15 INFO Experiment.PerfCost-5cc9: Processed 940 samples out of 10000, 0 errors
16:36:08,90 INFO Experiment.PerfCost-5cc9: Processed 950 samples out of 10000, 0 errors
16:36:18,155 INFO Experiment.PerfCost-5cc9: Processed 960 samples out of 10000, 0 errors
16:36:28,233 INFO Experiment.PerfCost-5cc9: Processed 970 samples out of 10000, 0 errors
16:36:38,309 INFO Experiment.PerfCost-5cc9: Processed 980 samples out of 10000, 0 errors
16:36:48,387 INFO Experiment.PerfCost-5cc9: Processed 990 samples out of 10000, 0 errors
16:36:58,466 INFO Experiment.PerfCost-5cc9: Processed 1000 samples out of 10000, 0 errors
16:37:08,539 INFO Experiment.PerfCost-5cc9: Processed 1010 samples out of 10000, 0 errors
16:37:18,611 INFO Experiment.PerfCost-5cc9: Processed 1020 samples out of 10000, 0 errors
16:37:28,686 INFO Experiment.PerfCost-5cc9: Processed 1030 samples out of 10000, 0 errors
16:37:38,759 INFO Experiment.PerfCost-5cc9: Processed 1040 samples out of 10000, 0 errors
16:37:48,839 INFO Experiment.PerfCost-5cc9: Processed 1050 samples out of 10000, 0 errors
16:37:58,928 INFO Experiment.PerfCost-5cc9: Processed 1060 samples out of 10000, 0 errors
16:38:09,7 INFO Experiment.PerfCost-5cc9: Processed 1070 samples out of 10000, 0 errors
16:38:19,83 INFO Experiment.PerfCost-5cc9: Processed 1080 samples out of 10000, 0 errors
16:38:29,168 INFO Experiment.PerfCost-5cc9: Processed 1090 samples out of 10000, 0 errors
16:38:39,245 INFO Experiment.PerfCost-5cc9: Processed 1100 samples out of 10000, 0 errors
16:38:49,315 INFO Experiment.PerfCost-5cc9: Processed 1110 samples out of 10000, 0 errors
16:38:59,385 INFO Experiment.PerfCost-5cc9: Processed 1120 samples out of 10000, 0 errors
16:39:09,453 INFO Experiment.PerfCost-5cc9: Processed 1130 samples out of 10000, 0 errors
