language,configuration,endpoint,container_id,host,targetRPS,experiment_id
go,elastic,updates,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,200,9837eca4-3813-49a6-9e3c-7dd497afc946
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,otel,updates,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,200,9837eca4-3813-49a6-9e3c-7dd497afc946
go,standard,queries,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,otel,queries,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,elastic,queries,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,otel,db,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,standard,updates,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,9837eca4-3813-49a6-9e3c-7dd497afc946
go,otel,json,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,1800,9837eca4-3813-49a6-9e3c-7dd497afc946
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4200,9837eca4-3813-49a6-9e3c-7dd497afc946
go,otel,db,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4200,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,otel,updates,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,200,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,standard,updates,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,200,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,otel,queries,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,otel,json,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,1800,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,standard,queries,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,elastic,queries,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,elastic,updates,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,200,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2400,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,elastic,db,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,400,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,standard,db,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,919b2ba6-027f-4d20-a1bc-659e9c4a1b68
go,otel,json,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,2300,87bd7728-793b-4ea0-960a-10fb202dc570
go,otel,db,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,400,87bd7728-793b-4ea0-960a-10fb202dc570
go,standard,db,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,87bd7728-793b-4ea0-960a-10fb202dc570
go,elastic,db,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,87bd7728-793b-4ea0-960a-10fb202dc570
