14:00:01,978 INFO SeBS-6439: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel
14:00:02,334 INFO OpenWhisk.Resources-d58d: Using user-provided configuration of storage for OpenWhisk.
14:00:02,334 INFO OpenWhisk-745f: Using existing resource name: 8504288e.
14:00:02,338 INFO Benchmark-3be0: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
14:08:24,556 INFO Experiment.PerfCost-4ea6: Processed 480 samples out of 10000, 0 errors
14:08:34,680 INFO Experiment.PerfCost-4ea6: Processed 490 samples out of 10000, 0 errors
14:08:44,810 INFO Experiment.PerfCost-4ea6: Processed 500 samples out of 10000, 0 errors
14:08:54,932 INFO Experiment.PerfCost-4ea6: Processed 510 samples out of 10000, 0 errors
14:09:05,61 INFO Experiment.PerfCost-4ea6: Processed 520 samples out of 10000, 0 errors
14:09:15,183 INFO Experiment.PerfCost-4ea6: Processed 530 samples out of 10000, 0 errors
14:09:25,305 INFO Experiment.PerfCost-4ea6: Processed 540 samples out of 10000, 0 errors
14:09:35,419 INFO Experiment.PerfCost-4ea6: Processed 550 samples out of 10000, 0 errors
14:09:45,550 INFO Experiment.PerfCost-4ea6: Processed 560 samples out of 10000, 0 errors
14:09:55,662 INFO Experiment.PerfCost-4ea6: Processed 570 samples out of 10000, 0 errors
14:10:05,774 INFO Experiment.PerfCost-4ea6: Processed 580 samples out of 10000, 0 errors
14:10:15,924 INFO Experiment.PerfCost-4ea6: Processed 590 samples out of 10000, 0 errors
14:10:26,69 INFO Experiment.PerfCost-4ea6: Processed 600 samples out of 10000, 0 errors
14:10:36,209 INFO Experiment.PerfCost-4ea6: Processed 610 samples out of 10000, 0 errors
14:10:46,319 INFO Experiment.PerfCost-4ea6: Processed 620 samples out of 10000, 0 errors
14:10:56,438 INFO Experiment.PerfCost-4ea6: Processed 630 samples out of 10000, 0 errors
14:11:06,554 INFO Experiment.PerfCost-4ea6: Processed 640 samples out of 10000, 0 errors
14:11:16,679 INFO Experiment.PerfCost-4ea6: Processed 650 samples out of 10000, 0 errors
14:11:26,796 INFO Experiment.PerfCost-4ea6: Processed 660 samples out of 10000, 0 errors
14:11:36,927 INFO Experiment.PerfCost-4ea6: Processed 670 samples out of 10000, 0 errors
14:11:47,51 INFO Experiment.PerfCost-4ea6: Processed 680 samples out of 10000, 0 errors
14:11:57,179 INFO Experiment.PerfCost-4ea6: Processed 690 samples out of 10000, 0 errors
14:12:07,307 INFO Experiment.PerfCost-4ea6: Processed 700 samples out of 10000, 0 errors
14:12:17,428 INFO Experiment.PerfCost-4ea6: Processed 710 samples out of 10000, 0 errors
14:12:27,548 INFO Experiment.PerfCost-4ea6: Processed 720 samples out of 10000, 0 errors
14:12:37,671 INFO Experiment.PerfCost-4ea6: Processed 730 samples out of 10000, 0 errors
14:12:47,800 INFO Experiment.PerfCost-4ea6: Processed 740 samples out of 10000, 0 errors
14:12:57,908 INFO Experiment.PerfCost-4ea6: Processed 750 samples out of 10000, 0 errors
14:13:08,12 INFO Experiment.PerfCost-4ea6: Processed 760 samples out of 10000, 0 errors
14:13:18,136 INFO Experiment.PerfCost-4ea6: Processed 770 samples out of 10000, 0 errors
14:13:28,267 INFO Experiment.PerfCost-4ea6: Processed 780 samples out of 10000, 0 errors
14:13:38,382 INFO Experiment.PerfCost-4ea6: Processed 790 samples out of 10000, 0 errors
14:13:48,503 INFO Experiment.PerfCost-4ea6: Processed 800 samples out of 10000, 0 errors
14:13:58,622 INFO Experiment.PerfCost-4ea6: Processed 810 samples out of 10000, 0 errors
14:14:08,745 INFO Experiment.PerfCost-4ea6: Processed 820 samples out of 10000, 0 errors
14:14:18,870 INFO Experiment.PerfCost-4ea6: Processed 830 samples out of 10000, 0 errors
14:14:28,985 INFO Experiment.PerfCost-4ea6: Processed 840 samples out of 10000, 0 errors
14:14:39,112 INFO Experiment.PerfCost-4ea6: Processed 850 samples out of 10000, 0 errors
14:14:49,220 INFO Experiment.PerfCost-4ea6: Processed 860 samples out of 10000, 0 errors
14:14:59,347 INFO Experiment.PerfCost-4ea6: Processed 870 samples out of 10000, 0 errors
14:15:09,461 INFO Experiment.PerfCost-4ea6: Processed 880 samples out of 10000, 0 errors
14:15:19,620 INFO Experiment.PerfCost-4ea6: Processed 890 samples out of 10000, 0 errors
14:15:29,760 INFO Experiment.PerfCost-4ea6: Processed 900 samples out of 10000, 0 errors
14:15:39,882 INFO Experiment.PerfCost-4ea6: Processed 910 samples out of 10000, 0 errors
14:15:49,994 INFO Experiment.PerfCost-4ea6: Processed 920 samples out of 10000, 0 errors
14:16:00,118 INFO Experiment.PerfCost-4ea6: Processed 930 samples out of 10000, 0 errors
14:16:10,238 INFO Experiment.PerfCost-4ea6: Processed 940 samples out of 10000, 0 errors
14:16:20,349 INFO Experiment.PerfCost-4ea6: Processed 950 samples out of 10000, 0 errors
14:16:30,474 INFO Experiment.PerfCost-4ea6: Processed 960 samples out of 10000, 0 errors
14:16:40,605 INFO Experiment.PerfCost-4ea6: Processed 970 samples out of 10000, 0 errors
14:16:50,726 INFO Experiment.PerfCost-4ea6: Processed 980 samples out of 10000, 0 errors
14:17:00,842 INFO Experiment.PerfCost-4ea6: Processed 990 samples out of 10000, 0 errors
14:17:10,951 INFO Experiment.PerfCost-4ea6: Processed 1000 samples out of 10000, 0 errors
14:17:21,82 INFO Experiment.PerfCost-4ea6: Processed 1010 samples out of 10000, 0 errors
14:17:31,230 INFO Experiment.PerfCost-4ea6: Processed 1020 samples out of 10000, 0 errors
14:17:41,361 INFO Experiment.PerfCost-4ea6: Processed 1030 samples out of 10000, 0 errors
14:17:51,479 INFO Experiment.PerfCost-4ea6: Processed 1040 samples out of 10000, 0 errors
14:18:01,596 INFO Experiment.PerfCost-4ea6: Processed 1050 samples out of 10000, 0 errors
14:18:11,714 INFO Experiment.PerfCost-4ea6: Processed 1060 samples out of 10000, 0 errors
14:18:21,824 INFO Experiment.PerfCost-4ea6: Processed 1070 samples out of 10000, 0 errors
14:18:31,954 INFO Experiment.PerfCost-4ea6: Processed 1080 samples out of 10000, 0 errors
14:18:42,77 INFO Experiment.PerfCost-4ea6: Processed 1090 samples out of 10000, 0 errors
14:18:52,188 INFO Experiment.PerfCost-4ea6: Processed 1100 samples out of 10000, 0 errors
14:19:02,326 INFO Experiment.PerfCost-4ea6: Processed 1110 samples out of 10000, 0 errors
14:19:12,445 INFO Experiment.PerfCost-4ea6: Processed 1120 samples out of 10000, 0 errors
14:19:22,563 INFO Experiment.PerfCost-4ea6: Processed 1130 samples out of 10000, 0 errors
14:19:32,694 INFO Experiment.PerfCost-4ea6: Processed 1140 samples out of 10000, 0 errors
14:19:42,834 INFO Experiment.PerfCost-4ea6: Processed 1150 samples out of 10000, 0 errors
14:19:52,949 INFO Experiment.PerfCost-4ea6: Processed 1160 samples out of 10000, 0 errors
14:20:03,84 INFO Experiment.PerfCost-4ea6: Processed 1170 samples out of 10000, 0 errors
14:20:13,204 INFO Experiment.PerfCost-4ea6: Processed 1180 samples out of 10000, 0 errors
14:20:23,349 INFO Experiment.PerfCost-4ea6: Processed 1190 samples out of 10000, 0 errors
