19:49:16,865 INFO SeBS-74f6: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/620.uploader-otel
19:49:17,229 INFO OpenWhisk.Resources-b49a: Using user-provided configuration of storage for OpenWhisk.
19:49:17,230 INFO OpenWhisk-3384: Using existing resource name: fd5e1ae0.
19:49:17,233 INFO Benchmark-de75: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
19:55:17,480 INFO Experiment.PerfCost-db86: Processed 340 samples out of 10000, 0 errors
19:55:27,690 INFO Experiment.PerfCost-db86: Processed 350 samples out of 10000, 0 errors
19:55:37,896 INFO Experiment.PerfCost-db86: Processed 360 samples out of 10000, 0 errors
19:55:48,84 INFO Experiment.PerfCost-db86: Processed 370 samples out of 10000, 0 errors
19:55:58,270 INFO Experiment.PerfCost-db86: Processed 380 samples out of 10000, 0 errors
19:56:08,455 INFO Experiment.PerfCost-db86: Processed 390 samples out of 10000, 0 errors
19:56:18,658 INFO Experiment.PerfCost-db86: Processed 400 samples out of 10000, 0 errors
19:56:28,855 INFO Experiment.PerfCost-db86: Processed 410 samples out of 10000, 0 errors
19:56:39,48 INFO Experiment.PerfCost-db86: Processed 420 samples out of 10000, 0 errors
19:56:49,246 INFO Experiment.PerfCost-db86: Processed 430 samples out of 10000, 0 errors
19:56:59,437 INFO Experiment.PerfCost-db86: Processed 440 samples out of 10000, 0 errors
19:57:09,627 INFO Experiment.PerfCost-db86: Processed 450 samples out of 10000, 0 errors
19:57:19,816 INFO Experiment.PerfCost-db86: Processed 460 samples out of 10000, 0 errors
19:57:29,999 INFO Experiment.PerfCost-db86: Processed 470 samples out of 10000, 0 errors
19:57:40,254 INFO Experiment.PerfCost-db86: Processed 480 samples out of 10000, 0 errors
19:57:50,444 INFO Experiment.PerfCost-db86: Processed 490 samples out of 10000, 0 errors
19:58:00,658 INFO Experiment.PerfCost-db86: Processed 500 samples out of 10000, 0 errors
19:58:10,846 INFO Experiment.PerfCost-db86: Processed 510 samples out of 10000, 0 errors
19:58:21,41 INFO Experiment.PerfCost-db86: Processed 520 samples out of 10000, 0 errors
19:58:31,221 INFO Experiment.PerfCost-db86: Processed 530 samples out of 10000, 0 errors
19:58:41,403 INFO Experiment.PerfCost-db86: Processed 540 samples out of 10000, 0 errors
