17:00:09,908 INFO SeBS-3704: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/610.dynamic-html-otel
17:00:10,273 INFO OpenWhisk.Resources-e9f0: Using user-provided configuration of storage for OpenWhisk.
17:00:10,273 INFO OpenWhisk-83d8: Using existing resource name: fd5e1ae0.
17:00:10,275 INFO Benchmark-40b9: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
17:08:08,925 INFO Experiment.PerfCost-0dff: Processed 460 samples out of 10000, 0 errors
17:08:19,27 INFO Experiment.PerfCost-0dff: Processed 470 samples out of 10000, 0 errors
17:08:29,131 INFO Experiment.PerfCost-0dff: Processed 480 samples out of 10000, 0 errors
17:08:39,227 INFO Experiment.PerfCost-0dff: Processed 490 samples out of 10000, 0 errors
17:08:49,360 INFO Experiment.PerfCost-0dff: Processed 500 samples out of 10000, 0 errors
17:08:59,464 INFO Experiment.PerfCost-0dff: Processed 510 samples out of 10000, 0 errors
17:09:09,555 INFO Experiment.PerfCost-0dff: Processed 520 samples out of 10000, 0 errors
17:09:19,649 INFO Experiment.PerfCost-0dff: Processed 530 samples out of 10000, 0 errors
17:09:29,750 INFO Experiment.PerfCost-0dff: Processed 540 samples out of 10000, 0 errors
17:09:39,845 INFO Experiment.PerfCost-0dff: Processed 550 samples out of 10000, 0 errors
17:09:49,945 INFO Experiment.PerfCost-0dff: Processed 560 samples out of 10000, 0 errors
17:10:00,39 INFO Experiment.PerfCost-0dff: Processed 570 samples out of 10000, 0 errors
17:10:10,147 INFO Experiment.PerfCost-0dff: Processed 580 samples out of 10000, 0 errors
17:10:20,255 INFO Experiment.PerfCost-0dff: Processed 590 samples out of 10000, 0 errors
17:10:30,429 INFO Experiment.PerfCost-0dff: Processed 600 samples out of 10000, 0 errors
17:10:40,544 INFO Experiment.PerfCost-0dff: Processed 610 samples out of 10000, 0 errors
17:10:50,653 INFO Experiment.PerfCost-0dff: Processed 620 samples out of 10000, 0 errors
17:11:00,755 INFO Experiment.PerfCost-0dff: Processed 630 samples out of 10000, 0 errors
17:11:10,856 INFO Experiment.PerfCost-0dff: Processed 640 samples out of 10000, 0 errors
17:11:20,950 INFO Experiment.PerfCost-0dff: Processed 650 samples out of 10000, 0 errors
17:11:31,50 INFO Experiment.PerfCost-0dff: Processed 660 samples out of 10000, 0 errors
17:11:41,133 INFO Experiment.PerfCost-0dff: Processed 670 samples out of 10000, 0 errors
17:11:51,241 INFO Experiment.PerfCost-0dff: Processed 680 samples out of 10000, 0 errors
17:12:01,358 INFO Experiment.PerfCost-0dff: Processed 690 samples out of 10000, 0 errors
17:12:11,437 INFO Experiment.PerfCost-0dff: Processed 700 samples out of 10000, 0 errors
17:12:21,535 INFO Experiment.PerfCost-0dff: Processed 710 samples out of 10000, 0 errors
17:12:31,663 INFO Experiment.PerfCost-0dff: Processed 720 samples out of 10000, 0 errors
17:12:41,758 INFO Experiment.PerfCost-0dff: Processed 730 samples out of 10000, 0 errors
17:12:51,853 INFO Experiment.PerfCost-0dff: Processed 740 samples out of 10000, 0 errors
17:13:01,948 INFO Experiment.PerfCost-0dff: Processed 750 samples out of 10000, 0 errors
17:13:12,56 INFO Experiment.PerfCost-0dff: Processed 760 samples out of 10000, 0 errors
17:13:22,166 INFO Experiment.PerfCost-0dff: Processed 770 samples out of 10000, 0 errors
17:13:32,265 INFO Experiment.PerfCost-0dff: Processed 780 samples out of 10000, 0 errors
17:13:42,397 INFO Experiment.PerfCost-0dff: Processed 790 samples out of 10000, 0 errors
17:13:52,497 INFO Experiment.PerfCost-0dff: Processed 800 samples out of 10000, 0 errors
17:14:02,603 INFO Experiment.PerfCost-0dff: Processed 810 samples out of 10000, 0 errors
17:14:12,712 INFO Experiment.PerfCost-0dff: Processed 820 samples out of 10000, 0 errors
17:14:22,812 INFO Experiment.PerfCost-0dff: Processed 830 samples out of 10000, 0 errors
17:14:32,918 INFO Experiment.PerfCost-0dff: Processed 840 samples out of 10000, 0 errors
17:14:43,39 INFO Experiment.PerfCost-0dff: Processed 850 samples out of 10000, 0 errors
17:14:53,159 INFO Experiment.PerfCost-0dff: Processed 860 samples out of 10000, 0 errors
17:15:03,261 INFO Experiment.PerfCost-0dff: Processed 870 samples out of 10000, 0 errors
17:15:13,374 INFO Experiment.PerfCost-0dff: Processed 880 samples out of 10000, 0 errors
17:15:23,472 INFO Experiment.PerfCost-0dff: Processed 890 samples out of 10000, 0 errors
17:15:33,621 INFO Experiment.PerfCost-0dff: Processed 900 samples out of 10000, 0 errors
17:15:43,721 INFO Experiment.PerfCost-0dff: Processed 910 samples out of 10000, 0 errors
17:15:53,821 INFO Experiment.PerfCost-0dff: Processed 920 samples out of 10000, 0 errors
17:16:03,915 INFO Experiment.PerfCost-0dff: Processed 930 samples out of 10000, 0 errors
17:16:14,20 INFO Experiment.PerfCost-0dff: Processed 940 samples out of 10000, 0 errors
17:16:24,127 INFO Experiment.PerfCost-0dff: Processed 950 samples out of 10000, 0 errors
17:16:34,221 INFO Experiment.PerfCost-0dff: Processed 960 samples out of 10000, 0 errors
17:16:44,344 INFO Experiment.PerfCost-0dff: Processed 970 samples out of 10000, 0 errors
17:16:54,441 INFO Experiment.PerfCost-0dff: Processed 980 samples out of 10000, 0 errors
17:17:04,542 INFO Experiment.PerfCost-0dff: Processed 990 samples out of 10000, 0 errors
17:17:14,662 INFO Experiment.PerfCost-0dff: Processed 1000 samples out of 10000, 0 errors
17:17:24,763 INFO Experiment.PerfCost-0dff: Processed 1010 samples out of 10000, 0 errors
17:17:34,860 INFO Experiment.PerfCost-0dff: Processed 1020 samples out of 10000, 0 errors
17:17:44,966 INFO Experiment.PerfCost-0dff: Processed 1030 samples out of 10000, 0 errors
17:17:55,76 INFO Experiment.PerfCost-0dff: Processed 1040 samples out of 10000, 0 errors
17:18:05,195 INFO Experiment.PerfCost-0dff: Processed 1050 samples out of 10000, 0 errors
17:18:15,299 INFO Experiment.PerfCost-0dff: Processed 1060 samples out of 10000, 0 errors
