02:42:58,395 INFO Experiment.PerfCost-9875: Processed 590 samples out of 10000, 0 errors
02:43:08,714 INFO Experiment.PerfCost-9875: Processed 600 samples out of 10000, 0 errors
02:43:19,27 INFO Experiment.PerfCost-9875: Processed 610 samples out of 10000, 0 errors
02:43:29,328 INFO Experiment.PerfCost-9875: Processed 620 samples out of 10000, 0 errors
02:43:39,645 INFO Experiment.PerfCost-9875: Processed 630 samples out of 10000, 0 errors
02:43:49,959 INFO Experiment.PerfCost-9875: Processed 640 samples out of 10000, 0 errors
02:44:00,274 INFO Experiment.PerfCost-9875: Processed 650 samples out of 10000, 0 errors
02:44:10,590 INFO Experiment.PerfCost-9875: Processed 660 samples out of 10000, 0 errors
02:44:20,887 INFO Experiment.PerfCost-9875: Processed 670 samples out of 10000, 0 errors
02:44:31,217 INFO Experiment.PerfCost-9875: Processed 680 samples out of 10000, 0 errors
02:44:41,538 INFO Experiment.PerfCost-9875: Processed 690 samples out of 10000, 0 errors
02:44:51,861 INFO Experiment.PerfCost-9875: Processed 700 samples out of 10000, 0 errors
02:45:02,174 INFO Experiment.PerfCost-9875: Processed 710 samples out of 10000, 0 errors
02:45:12,498 INFO Experiment.PerfCost-9875: Processed 720 samples out of 10000, 0 errors
02:45:22,801 INFO Experiment.PerfCost-9875: Processed 730 samples out of 10000, 0 errors
02:45:33,120 INFO Experiment.PerfCost-9875: Processed 740 samples out of 10000, 0 errors
02:45:43,438 INFO Experiment.PerfCost-9875: Processed 750 samples out of 10000, 0 errors
02:45:53,757 INFO Experiment.PerfCost-9875: Processed 760 samples out of 10000, 0 errors
02:46:04,74 INFO Experiment.PerfCost-9875: Processed 770 samples out of 10000, 0 errors
02:46:14,405 INFO Experiment.PerfCost-9875: Processed 780 samples out of 10000, 0 errors
02:46:24,715 INFO Experiment.PerfCost-9875: Processed 790 samples out of 10000, 0 errors
02:46:35,21 INFO Experiment.PerfCost-9875: Processed 800 samples out of 10000, 0 errors
02:46:45,353 INFO Experiment.PerfCost-9875: Processed 810 samples out of 10000, 0 errors
02:46:55,657 INFO Experiment.PerfCost-9875: Processed 820 samples out of 10000, 0 errors
02:47:05,973 INFO Experiment.PerfCost-9875: Processed 830 samples out of 10000, 0 errors
02:47:16,293 INFO Experiment.PerfCost-9875: Processed 840 samples out of 10000, 0 errors
02:47:26,618 INFO Experiment.PerfCost-9875: Processed 850 samples out of 10000, 0 errors
02:47:36,937 INFO Experiment.PerfCost-9875: Processed 860 samples out of 10000, 0 errors
02:47:47,244 INFO Experiment.PerfCost-9875: Processed 870 samples out of 10000, 0 errors
02:47:57,577 INFO Experiment.PerfCost-9875: Processed 880 samples out of 10000, 0 errors
02:48:07,889 INFO Experiment.PerfCost-9875: Processed 890 samples out of 10000, 0 errors
02:48:18,202 INFO Experiment.PerfCost-9875: Processed 900 samples out of 10000, 0 errors
02:48:28,518 INFO Experiment.PerfCost-9875: Processed 910 samples out of 10000, 0 errors
02:48:38,841 INFO Experiment.PerfCost-9875: Processed 920 samples out of 10000, 0 errors
02:48:49,164 INFO Experiment.PerfCost-9875: Processed 930 samples out of 10000, 0 errors
02:48:59,489 INFO Experiment.PerfCost-9875: Processed 940 samples out of 10000, 0 errors
02:49:09,795 INFO Experiment.PerfCost-9875: Processed 950 samples out of 10000, 0 errors
02:49:20,108 INFO Experiment.PerfCost-9875: Processed 960 samples out of 10000, 0 errors
02:49:30,425 INFO Experiment.PerfCost-9875: Processed 970 samples out of 10000, 0 errors
02:49:40,738 INFO Experiment.PerfCost-9875: Processed 980 samples out of 10000, 0 errors
02:49:51,50 INFO Experiment.PerfCost-9875: Processed 990 samples out of 10000, 0 errors
02:50:01,363 INFO Experiment.PerfCost-9875: Processed 1000 samples out of 10000, 0 errors
02:50:11,673 INFO Experiment.PerfCost-9875: Processed 1010 samples out of 10000, 0 errors
02:50:21,981 INFO Experiment.PerfCost-9875: Processed 1020 samples out of 10000, 0 errors
02:50:32,325 INFO Experiment.PerfCost-9875: Processed 1030 samples out of 10000, 0 errors
02:50:42,628 INFO Experiment.PerfCost-9875: Processed 1040 samples out of 10000, 0 errors
02:50:52,946 INFO Experiment.PerfCost-9875: Processed 1050 samples out of 10000, 0 errors
02:51:03,263 INFO Experiment.PerfCost-9875: Processed 1060 samples out of 10000, 0 errors
02:51:13,605 INFO Experiment.PerfCost-9875: Processed 1070 samples out of 10000, 0 errors
02:51:23,949 INFO Experiment.PerfCost-9875: Processed 1080 samples out of 10000, 0 errors
02:51:34,271 INFO Experiment.PerfCost-9875: Processed 1090 samples out of 10000, 0 errors
02:51:44,613 INFO Experiment.PerfCost-9875: Processed 1100 samples out of 10000, 0 errors
02:51:54,941 INFO Experiment.PerfCost-9875: Processed 1110 samples out of 10000, 0 errors
02:52:05,256 INFO Experiment.PerfCost-9875: Processed 1120 samples out of 10000, 0 errors
02:52:15,584 INFO Experiment.PerfCost-9875: Processed 1130 samples out of 10000, 0 errors
02:52:25,896 INFO Experiment.PerfCost-9875: Processed 1140 samples out of 10000, 0 errors
02:52:36,213 INFO Experiment.PerfCost-9875: Processed 1150 samples out of 10000, 0 errors
02:52:46,535 INFO Experiment.PerfCost-9875: Processed 1160 samples out of 10000, 0 errors
02:52:56,860 INFO Experiment.PerfCost-9875: Processed 1170 samples out of 10000, 0 errors
02:53:07,174 INFO Experiment.PerfCost-9875: Processed 1180 samples out of 10000, 0 errors
02:53:17,485 INFO Experiment.PerfCost-9875: Processed 1190 samples out of 10000, 0 errors
02:53:27,800 INFO Experiment.PerfCost-9875: Processed 1200 samples out of 10000, 0 errors
02:53:38,110 INFO Experiment.PerfCost-9875: Processed 1210 samples out of 10000, 0 errors
02:53:48,440 INFO Experiment.PerfCost-9875: Processed 1220 samples out of 10000, 0 errors
02:53:58,760 INFO Experiment.PerfCost-9875: Processed 1230 samples out of 10000, 0 errors
02:54:09,86 INFO Experiment.PerfCost-9875: Processed 1240 samples out of 10000, 0 errors
