19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
19:48:56,336 INFO Experiment.PerfCost-0e34: Processed 480 samples out of 10000, 0 errors
19:49:07,55 INFO Experiment.PerfCost-0e34: Processed 490 samples out of 10000, 0 errors
19:49:17,800 INFO Experiment.PerfCost-0e34: Processed 500 samples out of 10000, 0 errors
19:49:28,519 INFO Experiment.PerfCost-0e34: Processed 510 samples out of 10000, 0 errors
19:49:39,242 INFO Experiment.PerfCost-0e34: Processed 520 samples out of 10000, 0 errors
19:49:49,991 INFO Experiment.PerfCost-0e34: Processed 530 samples out of 10000, 0 errors
19:50:00,760 INFO Experiment.PerfCost-0e34: Processed 540 samples out of 10000, 0 errors
19:50:11,438 INFO Experiment.PerfCost-0e34: Processed 550 samples out of 10000, 0 errors
19:50:22,226 INFO Experiment.PerfCost-0e34: Processed 560 samples out of 10000, 0 errors
19:50:32,943 INFO Experiment.PerfCost-0e34: Processed 570 samples out of 10000, 0 errors
19:50:43,712 INFO Experiment.PerfCost-0e34: Processed 580 samples out of 10000, 0 errors
19:50:54,430 INFO Experiment.PerfCost-0e34: Processed 590 samples out of 10000, 0 errors
19:51:05,160 INFO Experiment.PerfCost-0e34: Processed 600 samples out of 10000, 0 errors
19:51:15,877 INFO Experiment.PerfCost-0e34: Processed 610 samples out of 10000, 0 errors
19:51:26,619 INFO Experiment.PerfCost-0e34: Processed 620 samples out of 10000, 0 errors
19:51:37,378 INFO Experiment.PerfCost-0e34: Processed 630 samples out of 10000, 0 errors
19:51:48,137 INFO Experiment.PerfCost-0e34: Processed 640 samples out of 10000, 0 errors
19:51:58,885 INFO Experiment.PerfCost-0e34: Processed 650 samples out of 10000, 0 errors
19:52:09,582 INFO Experiment.PerfCost-0e34: Processed 660 samples out of 10000, 0 errors
19:52:20,321 INFO Experiment.PerfCost-0e34: Processed 670 samples out of 10000, 0 errors
19:52:31,69 INFO Experiment.PerfCost-0e34: Processed 680 samples out of 10000, 0 errors
19:52:41,788 INFO Experiment.PerfCost-0e34: Processed 690 samples out of 10000, 0 errors
19:52:52,496 INFO Experiment.PerfCost-0e34: Processed 700 samples out of 10000, 0 errors
19:53:03,234 INFO Experiment.PerfCost-0e34: Processed 710 samples out of 10000, 0 errors
19:53:13,947 INFO Experiment.PerfCost-0e34: Processed 720 samples out of 10000, 0 errors
19:53:24,683 INFO Experiment.PerfCost-0e34: Processed 730 samples out of 10000, 0 errors
19:53:35,356 INFO Experiment.PerfCost-0e34: Processed 740 samples out of 10000, 0 errors
19:53:46,95 INFO Experiment.PerfCost-0e34: Processed 750 samples out of 10000, 0 errors
19:53:56,788 INFO Experiment.PerfCost-0e34: Processed 760 samples out of 10000, 0 errors
19:54:07,509 INFO Experiment.PerfCost-0e34: Processed 770 samples out of 10000, 0 errors
19:54:18,211 INFO Experiment.PerfCost-0e34: Processed 780 samples out of 10000, 0 errors
19:54:28,916 INFO Experiment.PerfCost-0e34: Processed 790 samples out of 10000, 0 errors
19:54:39,609 INFO Experiment.PerfCost-0e34: Processed 800 samples out of 10000, 0 errors
19:54:50,353 INFO Experiment.PerfCost-0e34: Processed 810 samples out of 10000, 0 errors
19:55:01,103 INFO Experiment.PerfCost-0e34: Processed 820 samples out of 10000, 0 errors
19:55:11,869 INFO Experiment.PerfCost-0e34: Processed 830 samples out of 10000, 0 errors
19:55:22,546 INFO Experiment.PerfCost-0e34: Processed 840 samples out of 10000, 0 errors
19:55:33,220 INFO Experiment.PerfCost-0e34: Processed 850 samples out of 10000, 0 errors
19:55:43,977 INFO Experiment.PerfCost-0e34: Processed 860 samples out of 10000, 0 errors
19:55:54,777 INFO Experiment.PerfCost-0e34: Processed 870 samples out of 10000, 0 errors
19:56:05,482 INFO Experiment.PerfCost-0e34: Processed 880 samples out of 10000, 0 errors
19:56:16,215 INFO Experiment.PerfCost-0e34: Processed 890 samples out of 10000, 0 errors
19:56:26,927 INFO Experiment.PerfCost-0e34: Processed 900 samples out of 10000, 0 errors
19:56:37,649 INFO Experiment.PerfCost-0e34: Processed 910 samples out of 10000, 0 errors
19:56:48,364 INFO Experiment.PerfCost-0e34: Processed 920 samples out of 10000, 0 errors
19:56:59,89 INFO Experiment.PerfCost-0e34: Processed 930 samples out of 10000, 0 errors
19:57:09,835 INFO Experiment.PerfCost-0e34: Processed 940 samples out of 10000, 0 errors
19:57:20,524 INFO Experiment.PerfCost-0e34: Processed 950 samples out of 10000, 0 errors
19:57:31,214 INFO Experiment.PerfCost-0e34: Processed 960 samples out of 10000, 0 errors
19:57:41,951 INFO Experiment.PerfCost-0e34: Processed 970 samples out of 10000, 0 errors
19:57:52,687 INFO Experiment.PerfCost-0e34: Processed 980 samples out of 10000, 0 errors
19:58:03,407 INFO Experiment.PerfCost-0e34: Processed 990 samples out of 10000, 0 errors
19:58:14,158 INFO Experiment.PerfCost-0e34: Processed 1000 samples out of 10000, 0 errors
19:58:24,922 INFO Experiment.PerfCost-0e34: Processed 1010 samples out of 10000, 0 errors
19:58:35,653 INFO Experiment.PerfCost-0e34: Processed 1020 samples out of 10000, 0 errors
19:58:46,363 INFO Experiment.PerfCost-0e34: Processed 1030 samples out of 10000, 0 errors
19:58:57,123 INFO Experiment.PerfCost-0e34: Processed 1040 samples out of 10000, 0 errors
19:59:07,856 INFO Experiment.PerfCost-0e34: Processed 1050 samples out of 10000, 0 errors
19:59:18,565 INFO Experiment.PerfCost-0e34: Processed 1060 samples out of 10000, 0 errors
19:59:29,301 INFO Experiment.PerfCost-0e34: Processed 1070 samples out of 10000, 0 errors
19:59:39,966 INFO Experiment.PerfCost-0e34: Processed 1080 samples out of 10000, 0 errors
19:59:50,678 INFO Experiment.PerfCost-0e34: Processed 1090 samples out of 10000, 0 errors
20:00:01,426 INFO Experiment.PerfCost-0e34: Processed 1100 samples out of 10000, 0 errors
20:00:12,151 INFO Experiment.PerfCost-0e34: Processed 1110 samples out of 10000, 0 errors
20:00:22,873 INFO Experiment.PerfCost-0e34: Processed 1120 samples out of 10000, 0 errors
20:00:33,600 INFO Experiment.PerfCost-0e34: Processed 1130 samples out of 10000, 0 errors
20:00:44,402 INFO Experiment.PerfCost-0e34: Processed 1140 samples out of 10000, 0 errors
20:00:55,140 INFO Experiment.PerfCost-0e34: Processed 1150 samples out of 10000, 0 errors
20:01:05,889 INFO Experiment.PerfCost-0e34: Processed 1160 samples out of 10000, 0 errors
20:01:16,605 INFO Experiment.PerfCost-0e34: Processed 1170 samples out of 10000, 0 errors
20:01:27,309 INFO Experiment.PerfCost-0e34: Processed 1180 samples out of 10000, 0 errors
20:01:38,35 INFO Experiment.PerfCost-0e34: Processed 1190 samples out of 10000, 0 errors
20:01:48,739 INFO Experiment.PerfCost-0e34: Processed 1200 samples out of 10000, 0 errors
20:01:59,470 INFO Experiment.PerfCost-0e34: Processed 1210 samples out of 10000, 0 errors
20:02:10,142 INFO Experiment.PerfCost-0e34: Processed 1220 samples out of 10000, 0 errors
20:02:20,846 INFO Experiment.PerfCost-0e34: Processed 1230 samples out of 10000, 0 errors
20:02:31,564 INFO Experiment.PerfCost-0e34: Processed 1240 samples out of 10000, 0 errors
20:02:42,319 INFO Experiment.PerfCost-0e34: Processed 1250 samples out of 10000, 0 errors
20:02:53,59 INFO Experiment.PerfCost-0e34: Processed 1260 samples out of 10000, 0 errors
20:03:03,777 INFO Experiment.PerfCost-0e34: Processed 1270 samples out of 10000, 0 errors
20:03:14,496 INFO Experiment.PerfCost-0e34: Processed 1280 samples out of 10000, 0 errors
20:03:25,225 INFO Experiment.PerfCost-0e34: Processed 1290 samples out of 10000, 0 errors
20:03:35,949 INFO Experiment.PerfCost-0e34: Processed 1300 samples out of 10000, 0 errors
20:03:46,720 INFO Experiment.PerfCost-0e34: Processed 1310 samples out of 10000, 0 errors
20:03:57,443 INFO Experiment.PerfCost-0e34: Processed 1320 samples out of 10000, 0 errors
20:04:08,181 INFO Experiment.PerfCost-0e34: Processed 1330 samples out of 10000, 0 errors
20:04:18,938 INFO Experiment.PerfCost-0e34: Processed 1340 samples out of 10000, 0 errors
20:04:29,693 INFO Experiment.PerfCost-0e34: Processed 1350 samples out of 10000, 0 errors
20:04:40,423 INFO Experiment.PerfCost-0e34: Processed 1360 samples out of 10000, 0 errors
20:04:51,161 INFO Experiment.PerfCost-0e34: Processed 1370 samples out of 10000, 0 errors
20:05:01,940 INFO Experiment.PerfCost-0e34: Processed 1380 samples out of 10000, 0 errors
20:05:12,681 INFO Experiment.PerfCost-0e34: Processed 1390 samples out of 10000, 0 errors
